time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.29829,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.2993,0,0,0.04599,2.35999,5.36999,62.78999,0.065,-0.4,-0.199
0.3003,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.3013,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.3023,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.30329,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.3043,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.3053,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.3063,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.3073,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.30829,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.3093,0,0,0.04599,2.36999,5.36999,62.77,0.065,-0.399,-0.198
0.31029,0,0,0.04599,2.22,5.32999,62.78999,0.064,-0.398,-0.199
0.3113,0,0,0.04599,2.22,5.32999,62.78999,0.064,-0.398,-0.199
0.3123,0,0,0.04599,2.22,5.32999,62.78999,0.064,-0.398,-0.199
0.3133,0,0,0.04599,2.22,5.32999,62.78999,0.064,-0.398,-0.199
0.3143,0,0,0.04599,2.22,5.32999,62.78999,0.064,-0.398,-0.199
0.31529,0,0,0.04599,2.22,5.32999,62.78999,0.064,-0.398,-0.199
0.3163,0,0,0.04599,2.22,5.32999,62.78999,0.064,-0.398,-0.199
